halfRecoveryValue,risingTimeValue,risingTimeIndex,peakIndex,peakValue,halfRecoveryIndex,distanceToPrevPeak
None,0.319021868,250,340,0.725148157,None,None
None,0.725148157,340,347,1.137605634,None,7
None,1.137605634,347,385,2.654209885,None,38
None,2.615036409,388,394,3.020337243,None,9
None,2.841006799,398,402,3.402521473,None,8
None,3.183537717,405,439,8.890145909,None,37
None,8.890145909,439,451,11.24725034,None,12
None,11.24725034,451,459,11.82710163,None,8
None,11.57914272,461,464,12.41778197,None,5
12.21871185,12.17720597,466,469,12.61311241,471,5
None,12.06221373,473,479,13.2815866,None,10
13.66752989,13.10808847,481,494,14.50518229,499,15
None,13.07890974,506,510,14.99934304,None,16
None,14.45925134,541,564,16.42669847,None,54
16.15535913,15.59731169,567,572,17.18310477,576,8
None,16.22838152,594,598,17.56400285,None,26
17.41286446,17.05561978,601,606,18.03358262,608,8
17.7011658,17.22829053,609,651,18.23485677,655,45
18.16693813,17.32326492,673,680,19.37330025,683,29
17.97914754,17.60604608,713,718,18.80082331,721,38
14.63618759,13.65541977,795,799,16.11795732,817,81
15.26442443,13.74698047,822,832,16.80140065,842,33
13.16774486,13.13871217,895,899,13.26982001,900,67
None,10.72975717,994,1002,12.42121419,None,103
13.38958032,11.86997176,1006,1014,15.18740809,1018,12
None,13.29491038,1044,1051,15.7321125,None,37
15.27879734,14.82851276,1053,1060,15.80883451,1061,9
12.11951726,11.83082332,1188,1196,12.44402899,1199,136
12.21512522,12.10352966,1208,1211,12.62010316,1213,15
None,11.74190194,1222,1226,13.08762608,None,15
12.64254438,12.54009172,1228,1232,13.19745034,1234,6
11.2035814,10.74526146,1292,1296,11.66793199,1301,64
11.95254455,11.05903839,1303,1312,12.9113076,1316,16
12.94180508,11.29098303,1327,1337,14.9455922,1341,25
None,12.62705563,1352,1362,14.28031997,None,25
14.3223313,13.80858176,1364,1368,15.45886116,1370,6
13.85940934,13.22387936,1389,1401,14.77102517,1403,33
13.86512043,12.90904026,1414,1421,15.16133946,1424,20
11.32246789,10.92988143,1479,1490,11.78919918,1493,69
10.87515491,9.869801134,1522,1527,12.01396388,1530,37
6.027636821,5.565308873,1773,1778,6.572163702,1785,251
None,,,,,,
,,,,,,
19.37330025,,,,,,
0.725148157,,,,,,
