SUBJECT,SIGNAL,PRECISION,RECALL,PRECISION,RECALL,PRECISION,RECALL,TRAINING_SAMPLES,TEST_SAMPLES
P1,,60,50,42.86,50,44.44,66.67,22,6
P1,,50,16.67,50,83.33,54.55,100,22,6
P1,,50,50,60,50,40,66.67,22,6
P6,,100,100,100,100,100,80,19,5
P6,,100,20,66.67,40,100,60,19,5
P6,,100,100,100,100,100,80,19,5
P7,,48.15,92.86,30,21.43,48,85.71,54,14
P7,,14.29,7.14,27.27,21.43,0,0,54,14
P7,,48.15,92.86,33.33,7.14,48,85.71,54,14
P8,,25,8.33,64.29,75,50,16.67,48,12
P8,,25,8.33,57.14,33.33,45,75,48,12
P8,,42.11,66.67,80,66.67,52.17,100,48,12
P9,,100,40,60,60,44.44,80,17,5
P9,,100,20,100,40,100,20,17,5
P9,,0,0,100,100,50,100,17,5
