SUBJECT,SIGNAL,PRECISION,RECALL,PRECISION,RECALL,PRECISION,RECALL,TRAINING_SAMPLES,TEST_SAMPLES
P1,,43.55,20.15,57.5,34.33,73.72,75.37,176,36
P1,,33.33,1.49,68.97,14.93,0,0,176,36
P1,,46.27,23.13,62.5,44.78,70,62.69,176,36
P6,,66.67,13.11,86.21,40.98,87.63,69.67,188,24
P6,,68,13.93,83.33,61.48,86.13,96.72,188,24
P6,,76.47,42.62,92.54,50.82,76.92,8.2,188,24
P7,,53.28,38.69,60.74,48.81,65.91,69.05,142,70
P7,,47.06,14.29,57.5,27.38,37.5,3.57,142,70
P7,,56.78,39.88,58.49,55.36,63.33,67.86,142,70
P8,,100,4.43,92,29.11,72,91.14,152,60
P8,,100,2.53,88,27.85,72.56,98.73,152,60
P8,,69.02,80.38,100,38.61,72.17,96.84,152,60
P9,,74.07,16.67,84.62,27.5,77.27,28.33,190,22
P9,,100,8.33,86.11,25.83,100,0.83,190,22
P9,,72.22,21.67,88.33,44.17,94.74,15,190,22
